Userprofile,attendance_score
VUG/CSC/20/4071,7
VUG/CSC/20/4373,7
VUG/CSC/20/4377,7
VUG/CSC/20/4480,7
VUG/CSC/20/4487,7
VUG/CSC/20/4549,7
VUG/CSC/20/4552,7
VUG/CSC/20/4574,7
VUG/CSC/20/4669,7
VUG/CSC/20/4726,7
VUG/CSC/21/5157,7
VUG/CSC/21/5158,7
VUG/CSC/21/5165,7
VUG/CSC/21/5168,7
VUG/CSC/21/5169,7
VUG/CSC/21/5172,7
VUG/CSC/21/5173,7
VUG/CSC/21/5175,7
VUG/CSC/21/5177,7
VUG/CSC/21/5180,7
VUG/CSC/21/5181,7
VUG/CSC/21/5182,7
VUG/CSC/21/5189,7
VUG/CSC/21/5191,7
VUG/CSC/21/5192,7
VUG/CSC/21/5196,7
VUG/CSC/21/5198,7
VUG/CSC/21/5199,7
VUG/CSC/21/5201,7
VUG/CSC/21/5208,7
VUG/CSC/21/5214,7
VUG/CSC/21/5216,7
VUG/CSC/21/5219,7
VUG/CSC/21/5220,7
VUG/CSC/21/5225,7
VUG/CSC/21/5228,7
VUG/CSC/21/5231,7
VUG/CSC/21/5233,7
VUG/CSC/21/5248,7
VUG/CSC/21/5252,7
VUG/CSC/21/5256,7
VUG/CSC/21/5271,7
VUG/CSC/21/5275,7
VUG/CSC/21/5277,7
VUG/CSC/21/5288,7
VUG/CSC/21/5299,7
VUG/CSC/21/5332,7
VUG/CSC/21/5334,7
VUG/CSC/21/5340,7
VUG/CSC/21/5352,7
VUG/CSC/21/5353,7
VUG/CSC/21/5361,7
VUG/CSC/21/5364,7
VUG/CSC/21/5366,7
VUG/CSC/21/5375,7
VUG/CSC/21/5379,7
VUG/CSC/21/5380,7
VUG/CSC/21/5396,7
VUG/CSC/21/5397,7
VUG/CSC/21/5399,7
VUG/CSC/21/5408,7
VUG/CSC/21/5413,7
VUG/CSC/21/5419,7
VUG/CSC/21/5425,7
VUG/CSC/21/5426,7
VUG/CSC/21/5433,7
VUG/CSC/21/5434,7
VUG/CSC/21/5437,7
VUG/CSC/21/5440,7
VUG/CSC/21/5449,7
